Reference, Value, Footprint, Datasheet, Internal Part Number, PValue, Populated
Q1,1-0000036,transistors:1-0000036,~,1-0000036,MMBT3904,1
Q2,1-0000036,transistors:1-0000036,~,1-0000036,MMBT3904,1
R4,1-0000551,resistors_0805:1-0000551,~,1-0000551,1k,1
R1,1-0000551,resistors_0805:1-0000551,~,1-0000551,1k,1
R2,1-0000548,resistors_0805:1-0000548,~,1-0000548,33k,1
R3,1-0000548,resistors_0805:1-0000548,~,1-0000548,33k,1
C2,1-0000853,capacitors_th:1-0000853,~,1-0000853,10uf,1
C1,1-0000853,capacitors_th:1-0000853,~,1-0000853,10uf,1
D2,1-0000568,leds_th:1-0000568,~,1-0000568,RED,1
D1,1-0000568,leds_th:1-0000568,~,1-0000568,RED,1
BT1,1-0000494,batteries:1-0000494,~,1-0000494,CR2032,1
J1,2 Pos,Connector_Wire:SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm_Relief,~,0-0000000,TSW-102-07-T-S,0
PCB1,barepcb,misc:barepcb,,3-0000080,Bare PCB,1
